2025-08-12 13:08:06 | INFO | Saved CSV file: data\search_hair dryer_20250812_130806.csv
2025-08-12 13:08:06 | INFO | Saved search results for keyword: hair dryer
2025-08-12 13:13:47 | INFO | Database initialized successfully
2025-08-12 13:13:47 | INFO | Starting search for keyword: hair dryer
2025-08-12 13:13:47 | INFO | Searching for keyword: hair dryer
2025-08-12 13:13:49 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:14:42 | INFO | Page 1: Found 30 listings
2025-08-12 13:14:46 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:15:26 | INFO | Page 2: Found 30 listings
2025-08-12 13:15:29 | INFO | Found 12 products with selector: .products-item
2025-08-12 13:15:41 | INFO | Page 3: Found 12 listings
2025-08-12 13:15:44 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:16:23 | INFO | Page 4: Found 30 listings
2025-08-12 13:16:25 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:17:05 | INFO | Page 5: Found 30 listings
2025-08-12 13:17:07 | INFO | Found 132 listings for 'hair dryer'
2025-08-12 13:17:07 | INFO | Saved JSON file: data\search_hair dryer_20250812_131707.json
2025-08-12 13:17:07 | INFO | Saved CSV file: data\search_hair dryer_20250812_131707.csv
2025-08-12 13:17:07 | INFO | Saved search results for keyword: hair dryer
2025-08-12 13:19:26 | INFO | Database initialized successfully
2025-08-12 13:19:26 | INFO | Starting search for keyword: hair dryer
2025-08-12 13:19:26 | INFO | Searching for keyword: hair dryer
2025-08-12 13:19:29 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:20:14 | INFO | Page 1: Found 30 listings
2025-08-12 13:20:18 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:20:51 | INFO | Page 2: Found 30 listings
2025-08-12 13:20:54 | INFO | Found 12 products with selector: .products-item
2025-08-12 13:21:04 | INFO | Page 3: Found 12 listings
2025-08-12 13:21:07 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:21:38 | INFO | Page 4: Found 30 listings
2025-08-12 13:21:40 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:22:19 | INFO | Page 5: Found 30 listings
2025-08-12 13:22:21 | INFO | Found 132 listings for 'hair dryer'
2025-08-12 13:22:21 | INFO | Saved JSON file: data\search_hair dryer_20250812_132221.json
2025-08-12 13:22:21 | INFO | Saved CSV file: data\search_hair dryer_20250812_132221.csv
2025-08-12 13:22:21 | INFO | Saved search results for keyword: hair dryer
2025-08-12 13:26:05 | INFO | Database initialized successfully
2025-08-12 13:26:05 | INFO | Starting search for keyword: hair dryer
2025-08-12 13:26:05 | INFO | Searching for keyword: hair dryer
2025-08-12 13:26:07 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:26:52 | INFO | Page 1: Found 30 listings
2025-08-12 13:26:55 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:27:26 | INFO | Page 2: Found 30 listings
2025-08-12 13:27:28 | INFO | Found 12 products with selector: .products-item
2025-08-12 13:27:39 | INFO | Page 3: Found 12 listings
2025-08-12 13:27:41 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:28:16 | INFO | Page 4: Found 30 listings
2025-08-12 13:28:20 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:29:00 | INFO | Page 5: Found 30 listings
2025-08-12 13:29:02 | INFO | Found 132 listings for 'hair dryer'
2025-08-12 13:29:02 | INFO | Saved JSON file: data\search_hair dryer_20250812_132902.json
2025-08-12 13:29:02 | INFO | Saved CSV file: data\search_hair dryer_20250812_132902.csv
2025-08-12 13:29:02 | INFO | Saved search results for keyword: hair dryer
2025-08-12 13:32:08 | INFO | Database initialized successfully
2025-08-12 13:32:08 | INFO | Starting search for keyword: hair dryer
2025-08-12 13:32:08 | INFO | Searching for keyword: hair dryer
2025-08-12 13:32:10 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:32:12 | WARNING | Could not get detailed seller info for https://cy-electronic.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:13 | WARNING | Could not get detailed seller info for https://bidisco.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:15 | WARNING | Could not get detailed seller info for https://dglizbella.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:17 | WARNING | Could not get detailed seller info for https://baiyisen.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:19 | WARNING | Could not get detailed seller info for https://fiyele.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:21 | WARNING | Could not get detailed seller info for https://huipuhairdryer.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:22 | WARNING | Could not get detailed seller info for https://wontry.en.made-in-china.com: 'Seller' object has no attribute 'email'
2025-08-12 13:32:24 | WARNING | Could not get detailed seller info for https://mktslkt-a.en.made-in-china.com: 'Seller' object has no attribute 'email'
